[2025-05-15 09:21:42] 127.0.0.1 requested http://google.com/search?ie=ISO-8859-1&hl=en-IN&source=hp&biw=&bih=&q=hotstar&iflsig=ACkRmUkAAAAAaCVy2MwMsm22yDgdQ2AFKrM17TE229ot&gbv=2&oq=h&gs_l=heirloom-hp.1.0.0i512i433j0i512i433i131j0i512i433l2j0i512i433i131j0i512l2j0i512i433i131j0i512i433i131i650j0i512i433.3514.3514.0.6395.1.1.0.0.0.0.199.199.0j1.1.0....0...1.1.34.heirloom-hp..0.1.199.vl9SujgEwfw&sei=0GQlaK_bKbmXnesP4ZOvmAY
[2025-05-15 09:21:54] 127.0.0.1 requested http://google.com/gen_204?atyp=i&ct=backbutton&cad=&tt=pageshow&ei=yGQlaMyjBry6wPAPrqO32AQ&trs=19846&nt=back_forward&zx=1747281114126&opi=89978449
[2025-05-15 09:22:02] 127.0.0.1 requested http://google.com/
[2025-05-15 09:22:03] 127.0.0.1 requested http://google.com/
[2025-05-15 09:22:04] 127.0.0.1 requested http://google.com/
[2025-05-15 09:22:05] 127.0.0.1 requested http://google.com/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png
[2025-05-15 09:22:05] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:06] 127.0.0.1 requested http://google.com/images/nav_logo229.png
[2025-05-15 09:22:06] 127.0.0.1 requested http://google.com/xjs/_/js/k=xjs.hp.en.kXGYpFwQiS8.es5.O/am=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAADAAAAAAAAEgAAAkAAAAAAAAIAOBAAAAgBQAAAAAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgPA4IAAAAAGxABAAAADEIw/d=1/ed=1/dg=3/rs=ACT90oEiDwn11hXrq5ljg3M5j3M4a0l6GA/m=sb_he,d
[2025-05-15 09:22:06] 127.0.0.1 requested http://google.com/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png
[2025-05-15 09:22:06] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:07] 127.0.0.1 requested http://google.com/images/nav_logo229.png
[2025-05-15 09:22:07] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:08] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:08] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:09] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:09] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:09] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=52QlaK-GGYjKwPAPi-XosQ0&opi=89978449
[2025-05-15 09:22:30] 127.0.0.1 requested http://httpbin.org/html
[2025-05-15 09:22:31] 127.0.0.1 requested http://httpbin.org/favicon.ico
[2025-05-15 09:22:38] 127.0.0.1 requested http://google.com/
[2025-05-15 09:22:39] 127.0.0.1 requested http://google.com/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png
[2025-05-15 09:22:41] 127.0.0.1 requested http://google.com/client_204?&atyp=i&biw=1366&bih=615&ei=CWUlaKKFDqDLwPAPw9uneA&opi=89978449
[2025-05-15 09:22:41] 127.0.0.1 requested http://google.com/images/nav_logo229.png
[2025-05-15 09:22:41] 127.0.0.1 requested http://google.com/xjs/_/js/k=xjs.hp.en.kXGYpFwQiS8.es5.O/am=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAADAAAAAAAAEgAAAkAAAAAAAAIAOBAAAAgBQAAAAAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgPA4IAAAAAGxABAAAADEIw/d=1/ed=1/dg=3/rs=ACT90oEiDwn11hXrq5ljg3M5j3M4a0l6GA/m=sb_he,d
[2025-05-15 09:22:42] 127.0.0.1 requested http://clients1.google.com/generate_204
[2025-05-15 09:22:42] 127.0.0.1 requested http://google.com/images/nav_logo229.png
[2025-05-15 09:22:42] 127.0.0.1 requested http://google.com/gen_204?atyp=i&ct=psnt&cad=&nt=reload&ei=CWUlaKKFDqDLwPAPw9uneA&zx=1747281162551&opi=89978449
[2025-05-15 09:23:54] 127.0.0.1 requested ads.mozilla.org:443
[2025-05-15 09:23:54] 127.0.0.1 requested merino.services.mozilla.com:443
[2025-05-15 09:23:54] 127.0.0.1 requested merino.services.mozilla.com:443
[2025-05-15 09:23:54] 127.0.0.1 requested merino.services.mozilla.com:443
[2025-05-15 09:23:54] 127.0.0.1 requested merino.services.mozilla.com:443
